Unnamed: 0,index,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,song,year,artist,genre,original_genre,lyrics,word_count
11603,361802,0.2681564245810056,0.3994413407821229,0.6713286713286714,0.0576923076923077,358.0,438296,0.3076923076923077,0.010447761194029851,0.007795677356137507,0.01492537313432836,0.01492537313432836,0.010447761194029851,0.007795677356137507,0.01492537313432836,0.004477611940298508,0.7142857142857143,0.2857142857142857,make-it-rain,2008,dean-martin,Jazz,Jazz,"The wealthy ones like you look down
On the common folk like me
Makin bets to what degree of fool we are
Through your rosecolored windows
You see yourself above us
Standin in the mud gazin at the stars
But the rich and poor have in common
The common cold the heartburn and the heartache
Put our pants on just the same
Your worth dont make you better babe
Cause I can tread water babe
As long as you think you make it rain
While you got your raisin girl
And your diamondstudded world
I got pulled up on the hungry side o town
I cut my teeth on bacon rind
There aint no hide as tough as mine
But it might be fun awhile to be your clown
So get your whip and do your thing
And Ill run around the ring
Ride my white horse wear my armor too
Ah but I dont easy blister babe
Ill be your court jester babe
Dont think you wont pay fiddler too
Aah I put your hand in mine
It was a shockin time to find
The water hot current strong deep and wet
You had me strugglin for a time
A draggin on your line
But never fear this fish will never swim
While youre playin with my mind
Ill be payin with your money honey
As long as your account can stand the drain
Ill fan the flame and make it hotter
Cause I think I can walk on water
As long as you can make it rain
Aww Ill hang around awhile
Study your style
Come out a whole lot wiser man indeed
Cause last time anyone as grand
As you appeared and looked around
Found the grandest star up in the East
Hey but I dont see no halo
Just a little girl with a lot of gold
Want one more trinket for her golden scene
Ah but you got a hot one hangin kid
Dont let him say you never did
You best be my guest make it rain
Aah make it rain
Babe make it rain
Make it rain
Oh make it rain",358.0
17815,168773,0.5423728813559322,0.807909604519774,0.6713286713286714,0.08333333333333333,177.0,649719,0.4444444444444444,0.00746268656716418,0.006197031691794454,0.010447761194029851,0.010447761194029851,0.00746268656716418,0.006197031691794454,0.010447761194029851,0.0029850746268656717,0.5,0.5,drawn-and-quartered,2007,dri,Rock,Metal,"Come apart under stress
Opened up I wont confess
Pulled apart theyre four of me
Opened up an oddity
Changing with the times
Like rolling with the punches
Basing my decisions
On theories and hunches
All I ever wanted to do
Was move forward
Being pulled
Four directions at once
Drawn and quartered
Come apart at the seams
Opened up for all to see
Coming apart but I dont cry
Opened up but I wont bleed
I wont I wont bleed for
I wont I wont bleed for you
I wont let you see
Whats really inside me
Hidden somewhere in between
Buried beneath the skin and bone
Away rom the smiles which are lies
Ripped apart I just laugh
Opened up cant help but laugh
Torn open an open book
Opened up please dont look
I wont let you see
Whats really inside me
Hidden somewhere in between
Buried beneath the skin and bone
Away rom the smiles which are lies
Please dont please dont look at
Please dont please dont look at me
Lyrics brecht",177.0
1675,136704,0.5925925925925926,0.8827160493827161,0.6713286713286712,0.1153846153846154,162.0,43215,0.2857142857142857,0.008955223880597015,0.010805485083636749,0.019402985074626858,0.019402985074626858,0.008955223880597015,0.010805485083636749,0.019402985074626858,0.0029850746268656717,0.0,1.0,coming-undone,2012,corday,Country,Country,"Strip Off The Ends Of Me Where Im Calloused
Come On Look Inside
Reach In Find A Piece Of Me Hold On Pull Til I Unwind
Take Me From The Tip Of My Tongue
Unravel Me Make Me Unravel
Turn Me Upside Down
Spread Me Out Until I Come
Until I Come Until I Come Until I Comeundone
Can You Feel My Veins Tangled Up In You
Can You See Me All Exposed
Red And Blue Im Bleeding Into You
Untwist My Heart til I Explode
Take Me From The Tip Of My Tongue
Unravel Me Make Me Unravel
Turn Me Upside Down
Spread Me Out Until I Come
Until I Come Until I Come Until I Come
Im Coming Im Coming
Drum Break 8 Bars
Guitar Solo
Take Me From The Tip Of My Tongue
Unravel Me Make Me Unravel
Turn Me Upside Down
Spread Me Out Until I Come
Take Me Make Me Come
Make Me Make Me Come Undone",162.0
7625,112568,0.4343891402714932,0.6470588235294118,0.6713286713286714,0.1153846153846154,221.0,318882,0.2857142857142857,0.013432835820895522,0.010329502674928293,0.022388059701492536,0.022388059701492536,0.013432835820895522,0.010329502674928293,0.022388059701492536,0.00746268656716418,1.0,0.0,cock-o-the-walk,2008,andrew-bird-s-bowl-of-fire,Indie,Indie,"Cmon baby move over Im sittin here tonight
Cmon baby move over do the thing thats right
I can puff up my feathers look real mean
Be the old man that this heres scene
Im a struttin preenin bantam rooster
Lookin for a fight Im mean Im lookin for a fight
Hold on there partner my hat just aint on right
Just a minute there govnr while I set it right
Its a half turn left a half turn right
This old thing used to be bright white
Im a struttin preenin bantam rooster
Lookin for a fight Im mean lookin for a fight
I went on down to sports bar town to put mother hen in a fright
Took the 450 Addison to see Pulaski at night
And its one for the money two for the jack
Three for the Joe youve got to pay back
Im a struttin preenin bantam rooster
Lookin for a fight Im mean Im lookin for a fight
Im a struttin preenin bantam rooster
Just looking for a fight
Im a struttin preenin bantam rooster
I think that might make right
I can puff up my feathers look real mean
Be the old man that this heres scene
Im a struttin preenin bantam rooster
Just lookin for a fight yeah Im lookin for a fight",221.0
2868,120180,0.5581395348837209,0.8313953488372093,0.6713286713286712,0.04477611940298507,172.0,73219,0.17647058823529413,0.0029850746268656717,0.006057323371448922,0.008955223880597015,0.008955223880597015,0.0029850746268656717,0.006057323371448922,0.008955223880597015,0.0014925373134328358,0.0,0.0,fegyversznet,2006,cseh-tamxi-xi,Country,Folk,"Cseh Tams  Beremnyi Gza
Egyszer falun
biciklipedlt tapostam n
s a vzon
egy kiteleptett lny lt
Lejtn lefel
a lny neve Annamari
vidm volt
br sokat szenvedtek
n meg fi
afle klottgatys fi
a hsgben
nyomtam a pedlt s
egymsba folytak a fk
mi kln volt mind sszement
az osztlyharc
egy biciklin
megsznt s n
vzon
egy grflnnyal
azonnali
hatllyal
bkt
ktttem egy
sszefolyt
vilggal
Fegyversznet
Mi kln volt mind sszefolyt
Osztlyklnbsgek
tszli fkknt
Tapostam a pedlt
szememben ugrlt a vidk
egy kiteleptett
grflnnyal neve Annamari
Egymsba folyt
egy szgulds sszehozta mind
mi kln volt
s az ember nem hitte el
hogy Annamari
a napozs Annamari
veszlyt hoz
mitl gy
vott
csaldom
hogy csak titkon
volt szabad
t ltnom
s az cska kerkpron
vele
elszllnom
elszllnom
elszllnom
elszllnom
Minden fltt
egy vilg fltt gy szlltunk el
Annamarival
hrom percig
elfelejtettk hogy 
azt hogy melyik
s azt hogy melyik
s azt hogy melyik vagyok n
ahogy a fk is
mind sszefolytak
Azta is
szememben sszefolyik
mi kln van
Transcribed by IITI",172.0
4050,261930,0.17582417582417584,0.2619047619047619,0.6713286713286714,0.045454545454545456,546.0,145226,0.1176470588235294,0.013432835820895522,0.01763793244471208,0.02537313432835821,0.02537313432835821,0.013432835820895522,0.01763793244471208,0.02537313432835821,0.0014925373134328358,0.9,0.1,ya-body,2009,audio-push,Hip-Hop,Hip-Hop,"Hook
I love the way you move
look at babygirl step gotta be the dress
it fit her like a glove cos girl theres something
bout you I cant seem to take my eyes off
I think I just fell in love
verse 1
So I step up in the club lil mama bad
love how her hair go down lil mama back
everything match from her dress to her bag
I dont see another girl movin like that
and she movin it right so I gotta chase
and she stepped in here tonight model body nice face
she movin it like  nobodys in the place
so I gotta make her mine put my hands on her waist and said
Hook
I love the way you move
look at babygirl step gotta be the dress
it fit her like a glove cos girl theres something
bout you I cant seem to take my eyes off
I think I just fell in love
Chorus
Theres somthin bout ya body ya body ya body oh
Theres somthin bout ya body your ya body your ya body oh
Verse 2
yeah In case you didnt know baby they call me Price
drop top rippin with my face in the light
your body lookin nice make me look twice
Ill knock it out the park while these other lames strike
no need to front I want you here close
cos out of every girl ive been watchin you the most
you got me tryna tug at your body no rope
and if you roll with me guranteed we gon coast
girl if you cant see that  that im stuck in a trance when im watchin you dance
its just you and me so skip all your other plans im tryna be ya man girl
I think what im sayin is clear
cos aint nobody movin like you swaying in here
so ima pass your friends grab your hands pull you close and this is what im gon
say in your ear
Hook
I love the way you move
look at babygirl step gotta be the dress
it fit her like a glove cos girl theres something
bout you I cant seem to take my eyes off
I think I just fell in love
Chorus
Theres somthin bout ya body ya body ya body oh
Theres somthin bout ya body your ya body your ya body oh
Verse 3
Attention all the ladies report to the floor
you sayin that you bad its your time to let it show
so do yodo yo two step and let your hips flow
ready set go
now let it go now girl now oooh your rockin
just let it flow now girl cos oooh your rockin
now take it to the floor floor floor floor floor floor floor
now pick it up slow slow slow slow slow slow stop
Hook
I love the way you move
look at babygirl step gotta be the dress
it fit her like a glove cos girl theres something
bout you I cant seem to take my eyes off
I think I just fell in love
Chorus
Theres somthin bout ya body ya body ya body oh
Theres somthin bout ya body ya body ya body oh",546.0
15205,158348,0.5647058823529412,0.8411764705882353,0.6713286713286714,0.1875,170.0,570562,1.0,0.016417910447761194,0.013400034196724352,0.020895522388059702,0.020895522388059702,0.016417910447761194,0.013400034196724352,0.020895522388059702,0.004477611940298508,0.25,0.75,boogie-wonderland,2008,girls-against-boys,Rock,Rock,"Dance boogie wonderland Ha ha dance boogie wonderland
Midnight creeps so slowly into hearts of men who need more than they get
Daylight deals a bad hand to a woman who has laid too many bets
The mirror stares you in the face and saysBaby uh uh it dont work
You say your prayers though you dont care you dance and shake the hurt
Dance boogie wonderland Ha ha dance boogie wonderland
Sounds fly through the night I chase my vinyl dreams to boogie wonderland
I find romance when I start to dance in boogie wonderland
I find romance when I start to dance in boogie wonderland
All the love in the world cant be gone
All the need to be loved cant be wrong
All the records are playing and my heart keeps saying
Boogie wonderland wonderland
Dance boogie wonderland Ha ha dance boogie wonderland Ha ha
I find romance when I start to dance in boogie wonderland
I find romance when I start to dance in boogie wonderland",170.0
3724,120597,0.15815485996705106,0.2355848434925865,0.6713286713286712,0.03896103896103896,607.0,124397,0.05,0.011940298507462687,0.012993642754180272,0.019402985074626858,0.019402985074626858,0.011940298507462687,0.012993642754180272,0.019402985074626858,0.0014925373134328358,0.4761904761904762,0.5238095238095238,lonely,2012,chris-brown,Hip-Hop,Hip-Hop,"Yeah
Its the General
C Breazy in the building
Its that RB money right here
Lets get it
I brought hers
I did that walk up in this mother fucker like the kid back
You see the ice you see the ring
Truth is Im just doin this to cover up the pain
She left me for good reason
I disrespected home you can call it treason
Im in here bleeding words while my heart is leakin
Dont walk with it tonight I think Ill be cheatin
I told my waitress keep them miles coming women all around me
Ive been single for two or three weeks never discounting
Already replaced you with a new girl new girl
She dont do for me the things you do girl
Im still lonely Im still lonely
Im steady tryin to replace you with a new girl
In the end the only one I need is you girl
Im still
Thinking bout you
Girl Im thinking bout you
Thinking bout you girl Im thinking bout you
All these new girls they aint you girl
Thinking bout you Ill be there Im thinking bout you yeah
So many shots just kill me now
But honey should this tears fucking clown
My heart is racing could beat a miler
All the fact that she up in there lookin good without me
Look at them bottles them red bottles who could
Im gonna speak tryin make peace but damn cry
Look at this damn crown look at this damn crown
Yes is poppin but if you with it you can lead now
I told my way to keep the miles coming waiting all around me
Ive been single for two or three weeks never this coming
Already replaced you with a new girl new girl
She dont do for me the things you do girl
Im still lonely Im still lonely
Im study tryin to replace you with a new girl
In the end the only one I need is you girl
Im still
Im thinking bout you
Damn Im thinking bout you
Thinking bout you got a nigga thinking bout you yeah
All this new girls they not you girl
Thinking bout you Ill be damn Im thinking bout you yeah
Nigga open this club got a honey girls in my vip
I bet all of them wanna fuck
But only your ass can get to me
Im throwing up this money like money spend
This fake ass nigga wanna funny shit
Im a get this on your level see wanna trip
The new better dick if you punish me
Now Im back up in this club
With my shirt of and my chain
And Im looking looking her booty
Got that bomb shit on its 
No matter how many girls wanna do me
I just want you back in my ranges roll
On the road no clothe on the poe 
 keep them bottles coming
Women all around me
Its so many pretty ladies and nigga stop counting
And I said already replaced you with a new girl
Yeah she dont do for me the things she do girl
Im still lonely Im still lonely
Im study tryin to replace you with a new girl
In the end the only one I need is you girl
I said thinking bout you
Girl Im thinking bout you
Thinking bout you girl Im thinking bout you yeah
All this new girl theyre not you girl
Thinking bout you Ill be there Im thinking bout you yeah
Still lonely Im still lonely
New girl bottles poppin fast life
Im still alone alone",607.0
10987,110512,0.8347826086956521,1.2434782608695651,0.6713286713286714,0.15,115.0,420624,0.8,0.008955223880597015,0.008853846843971745,0.011940298507462687,0.011940298507462687,0.008955223880597015,0.008853846843971745,0.011940298507462687,0.0029850746268656717,1.0,0.0,star-eyes,2016,cannonball-adderley,Jazz,Jazz,"Star eyes
That to me is what your eyes are
Soft as stars in April skies are
Tell me some day youll fulfill
Their promise of a thrill
Star eyes
Flashing eyes in which my hopes rise
Let me show you where my heart lies
Let me prove that it adores
That loveliness of yours
All my life Ive felt
Content to stargaze at the skies
Now I only want to to melt
The stardust in your eyes
Star eyes
When if ever will my lips know
If its me for whom those eyes glow
Makes no diffrence where you are
Your eyes still hold my wishing star
Oh star eyes how lovely you are",115.0
6364,275430,0.2807017543859649,0.4181286549707601,0.6713286713286712,0.034883720930232565,342.0,279799,0.09090909090909093,0.005970149253731343,0.012616828992659136,0.013432835820895522,0.013432835820895522,0.005970149253731343,0.012616828992659136,0.013432835820895522,0.0014925373134328358,1.0,0.0,gypsies-in-the-wood,2008,the-blood-brothers,Indie,Indie,"SAMMY
I GOT Y I SHOT Y
AND Y BLOODY KNOW I DID
I GOT Y I SHOT Y
LINDA
I STOPPED IT WITH THE BIN LID
SAMMY
BIN LID  BUT
YOU KNOW THAT IF YOU CROSS YOUR FINGERS
ALL
AND IF YOU COUNT FROM ONE
YOU CAN GET UP OFF THE GROUND AGAIN
IT DOESNT MATTER
THE WHOLE THINGS JUST A GAME
MICKEY
WHAT ARE WE GOING TO PLAY NOW
LINDA
GANGSTERS
PERKINS
MY NAME IS ELLIOT NESS
AND LADY HERES MY CARD
IM IOOKIN FOR ONE AL CAPONE
ALL
WHO
PERKINS
MAC CHECK THE BACK
SARGE YOU CHECK THE YARD
DONNA MARIE
BUT PAL IVE TOLD YAL AINT HOME
PERKINS
OH YEH BANG BANG BANG
SO LADY CAN I USE YOUR TELEPHONE
SAMMY
HE MISSED
MICKEY LINDA  PERKINS
BUT YOU KNOW THAT IF YOU CROSS YOUR FINGERS
AND IF YOU COUNT FROM ONE TO TEN
YOU CAN GET UP OFF THE GROUND AGAIN
ALL
IT DOESNT MATTER THE WHOLE THINGS JUST A GAME
SAMMY
COWBOYS
COWBOY
WHEN I SAY DRAW
YOUD BETTER GRAB THAT GUN
AND MAYBE SAY A LITTLE PRAYER
COS IM THE FASTEST DRAW
THAT MAN YOU EVER SAW
GALL UP YOUR WOMAN SAY GOODBYE TO HER
DONNA MARIE
SHAME
COWBOY
COS Y KNOW YOURE GOIN RIGHT DOWN THERE
SAMMY
BAZOOKA
MICKEY
INDIANS
ALL
BUT YOU KNOW THAT IF YOU CROSS YOUR FINGERS
AND IF YOU COUNT FROM ONE
YOU CAN GET UP OFF THE GROUND AGAIN
IT DOESNT MATTER
THE WHOLE THINGS JUST A
PERKINS
WATCH OUT
SAMMY
MY NAMES PROFESSOR HOWE
AN ZEES BOMB I OLD
EET CAN DESTROY ZE EMISPHERE
IVE PRIMED IT IVE TIMED IT
TO EXPLODE
UNLESS YOU LET ME OUT OF HERE
ALL
NO
SAMMY
THEN I SUGGEST YOU COVER YOUR EARS
LINDA
BUT YOU KNOW THAT IF YOU CROSS YOUR FINGERS
LINDADONNA MARIE
AND IF YOU COUNT FROM ONE
ALL
YOU CAN GET UP OFF THE GROUND AGAIN
IT DOESNT MATTER
THE WHOLE THINGS JUST A GAME
THE WHOLE THINGS JUST A GAME
THE WHOLE THINGS JUST A GAME",342.0
